,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,매출액변화율,영업이익변화율,비유동자산변화율,Relative Return,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,전체 주식 수변화율,특정 증권 등 소유 수변화율,Label,Code
8,Amorepacific,화학,2022,Q3,-0.011651360997686933,-0.013925418020462876,0.10228098411764153,0.21560684213164527,0.03249656485965191,-0.026415543612948844,-0.00382294776014791,-0.03210070450316649,-0.006261270335418567,0.056728698516831155,-0.13571060490660808,090430
8,Huvis,화학,2022,Q3,-0.04038453665353359,-0.06221590000382182,-0.029161951043899403,0.37248987167219894,-0.22892421838092614,0.05471972738032359,-0.18752774587267318,3.4924352020662406,-0.12881372795065893,-0.22212717615603683,-0.2456106011662289,093370
8,SK_Innovation,화학,2022,Q3,-0.00787718484506339,-0.004248963226189062,0.062078158775010994,-0.0042346576761105315,-0.0020299766386744356,0.055271304567738974,-0.0020382774080065502,-0.019820252216164347,-0.006171408650747612,-0.020559010865660587,-0.16202612674069822,096770
8,HHI_Heavy_Industries,건설,2022,Q3,0.04972858148565151,-0.014962553775299536,0.10692027301086793,1.04543429844098,-0.005935053311203697,0.050384331382168135,0.009345395081351349,-0.06945100958070038,0.008863357514970693,-0.06832940224956308,-0.30744341987648893,097230
8,LG_Hausys,화학,2022,Q3,0.03903576824399557,0.24497509855133592,0.04608667728827798,-0.7703544795178261,-0.00804194959282789,-0.18588607162230966,-0.02102295946449817,-0.036695352103329526,-0.01942661577098348,-0.028440841378523984,-0.14250807961784995,108670
8,Lock_&_Lock,화학,2022,Q3,0.003493217056358633,0.06069443296654531,-0.022700462787002662,-0.3150388210486075,-0.004042990374365063,-0.1430884761266293,0.0021238069413619387,0.07808195177562915,0.00043526185064435285,0.055846774305211455,-0.024222548464777352,115390
8,Kolon_Industries,화학,2022,Q3,-0.016272757530184645,-0.053021411838226395,0.1159639931273646,0.4168740863933631,-0.012022011502418106,-0.015454177934602048,-0.02466376970976425,-0.04571343788394189,-0.025267072807124702,-0.04571343788394189,-0.1147658346546264,120110
8,Hanmi_Pharmaceutical,제약,2022,Q3,-0.023370688507863724,-0.07783267017657214,-0.053700359181635404,-0.6929618596441771,0.01546152703828596,0.2759777145494612,0.013348606252725048,-0.04428758420894119,0.0036596993985196224,-0.06492415971559362,-0.1750388520786627,128940
8,Hankook_Tire_&_Technology,화학,2022,Q3,-0.023018145431672465,-0.04220591937499529,-0.007499279838439454,0.9753817156752982,-0.009120607113223045,0.1351720160794077,-0.023796024225886114,0.0,-0.01646899198063445,0.0,0.13773113871099105,161390
8,KOLMAR_Korea,화학,2022,Q3,-0.013928670972843449,-0.023288478157224013,0.14727936623979954,0.5460302950300304,-0.4128778750283286,0.04009953833753832,-0.1273832792634757,-1.3014346820371072,-0.15329260108135268,-0.4831418134690266,0.09391500114485347,161890
8,Dong-A_ST,제약,2022,Q3,-0.03202943805628089,-0.11750917786338166,0.012015814678196457,-2.2830050420650756,-0.023897455709246396,-0.011167276141465843,-0.033644533849244374,-0.002210052362978221,-0.03741210717897325,-0.12754415695093146,-0.05716626578442087,170900
8,Jongkundang,제약,2022,Q3,-0.05042173771583869,-0.09298805846385916,-0.04367780720383241,-0.41107842983220455,-0.029194383622262565,0.04883614189082287,-0.005976975992512568,-0.04175973157260282,-0.018234086378925873,-0.011962475629118785,-0.027244240534929423,185750
8,COSMAX,화학,2022,Q3,-0.050545411412252994,-0.13176021440978913,0.08322295031569671,0.37324709805369904,-0.09002455303649026,-0.16000623604598221,-0.07882907859481247,0.009825689489623701,-0.08205595406509114,-0.044196759559348875,-0.02736897426917466,192820
