,name,sector,year,quarter,Relative Return,이익잉여금 변화율,자본총계 변화율,실업률 변화율,환율 변화율,자기주식수 변화율,발행금액 변화율,전체 주주 수 변화율,특정 증권 등 소유 증감 수 변화율,증자주식수 변화율,Label,Code
18,IS_Dongseo,비금속,2020,Q1,0.022117497547486903,0.0197803829523302,0.026004114112722965,-0.00943396226415083,-0.015754379708652122,-7.176885156538415,0.2198004002888596,-0.017984463906903336,-0.017984463906903336,-0.5826450245982047,-0.12365461586586265,010780
18,S-Oil,화학,2020,Q1,-0.11078873052873928,0.18433784626006566,0.14059052253118964,-0.00943396226415083,-0.015754379708652122,0.43327223792866465,0.0,-0.017243581144544384,-0.017243581144544384,0.0,-0.20456936258244088,010950
18,Lotte_Chemical,화학,2020,Q1,-0.12119875679116046,0.019536136766211465,-0.0051957695363045175,-0.00943396226415083,-0.015754379708652122,-0.018384696368639597,-0.018384696368639375,-0.018384696368639153,-0.018384696368639597,-0.5242462346040757,0.0566201624688524,011170
18,Hyundai_Merchant_Marine,운송·창고,2020,Q1,-0.09777209499314346,-0.020229055052048972,0.034806370638689965,-0.00943396226415083,-0.015754379708652122,0.0,-0.022547897717283938,-0.012702441334637049,-0.001765499475019805,0.5045501817267659,0.06702127929131405,011200
18,Kumho_Petrochemical,화학,2020,Q1,0.014094819987614776,-0.0508745104891406,-0.007381762307183459,-0.00943396226415083,-0.015754379708652122,0.38501221475711933,-0.01797089600418622,-0.01797089600418622,-0.01797089600418622,-0.01797089600418622,0.03330239493296813,011780
18,SKC,화학,2020,Q1,0.19743212279800454,-0.368615767816008,-0.2998175429673722,-0.00943396226415083,-0.015754379708652122,0.08842138809192845,0.1443152502687678,-0.018041496256434586,-0.018041496256434586,0.10920770309408534,-0.07984377363636377,011790
18,Hyundai_Development_Company,기타금융,2020,Q1,-0.21779917879297925,-0.004161183652894307,-0.0007781125470545103,-0.00943396226415083,-0.015754379708652122,-0.6117412697135707,-0.01799166641469685,-0.017991666414696628,0.0,-0.01799166641469685,-0.1313536088304095,012630
18,S-1_Corporation,일반서비스,2020,Q1,-0.11138729833057176,0.03946556448933214,0.03797776160818156,-0.00943396226415083,-0.015754379708652122,0.43384760016697155,0.0,-0.0179699843780996,0.0,0.0,0.04788849235199019,012750
19,Hansol_Chemical,화학,2020,Q1,0.25393247592521156,-0.05646773342948275,-0.04054122225365231,-0.00943396226415083,-0.015754379708652122,-0.09212776836458603,-0.017975876192258156,-0.017975876192257934,-0.017975876192258156,-0.017975876192257934,-0.05356140103820173,014680
18,Dongwon_Systems,화학,2020,Q1,-0.3176315693230442,0.0009626759234069304,0.0016906914482683888,-0.00943396226415083,-0.015754379708652122,0.7629253484012202,0.6126967906598659,-0.01798081249752914,-0.017980812497529364,0.5244888756972494,-0.14905776907694265,014820
18,UNID,화학,2020,Q1,-0.04577773844916877,0.005212830873643548,0.015597419606656837,-0.00943396226415083,-0.015754379708652122,-0.01797654447029351,0.18113998299986334,-0.01797654447029373,-0.01797654447029373,0.16985488698963325,-0.08918726946870384,014830
18,SK_Telecom,통신,2020,Q1,-0.08269589949556602,0.01618582934118651,0.01611875830913856,-0.00943396226415083,-0.015754379708652122,0.34406932668947543,0.0,-0.03993013890469954,-0.1422229097797021,0.0,-0.0628334194521191,017670
18,Daekyo,일반서비스,2020,Q1,-0.06445455124536387,0.02243094444458682,0.0582369988834176,-0.00943396226415083,-0.015754379708652122,0.20435754598019884,0.0,-0.017973020791118177,-0.0179730207911184,-0.017973020791118177,0.1638624865496203,019680
18,Hansum,섬유·의류,2020,Q1,0.0024034827939191927,-0.01247488274984665,-0.017970857300748655,-0.00943396226415083,-0.015754379708652122,0.19301313324740255,0.0,-0.017970857300748655,-0.017970857300748655,0.0,-0.18850819750639278,020000
18,Coway,일반서비스,2020,Q1,0.02478522763920732,-0.10229015606527381,-0.10308435563201335,-0.00943396226415083,-0.015754379708652122,0.2357759300178428,0.0,-0.017991451135468184,-0.017991451135468184,0.0,-0.18012510760190828,021240
18,Lotte_Shopping,유통,2020,Q1,-0.019913617908594722,0.011946388446442469,0.011679248139836118,-0.00943396226415083,-0.015754379708652122,-19.927335699769866,0.019007057308142783,-0.031114732620578733,-0.051560683361928206,0.19540910899676567,-0.25148443741142257,023530
18,Namhae_Chemical,화학,2020,Q1,-0.16772165941313427,-0.011581065005553226,-0.009252983903799805,-0.00943396226415083,-0.015754379708652122,0.4338691941575702,0.0,-0.017978847288480315,0.0,0.0,0.05267873918966856,025860
18,Samsung_Engineering,일반서비스,2020,Q1,0.07188033063661697,0.5112330766004649,-0.06707442035673017,-0.00943396226415083,-0.015754379708652122,-0.017908635134738615,0.16907132580704032,-0.017908635134738837,-0.017908635134738615,0.1690713258070402,-0.27908323671547786,028050
19,Samsung_C&T,유통,2020,Q1,0.13385220844135717,0.026025573658841283,0.1482244986679726,-0.00943396226415083,-0.015754379708652122,0.23950756156238506,0.2679173318402427,0.0025525741400543867,-0.2367187658621519,0.6364305915520406,0.017028376157080055,028260
19,Cheil_Worldwide,일반서비스,2020,Q1,-0.10658148503352328,0.08582726173434307,0.10405129185296658,-0.00943396226415083,-0.015754379708652122,0.17938335127814864,0.0,-0.01796525644343072,-0.01796525644343072,-0.01796525644343072,-0.1404197418588067,030000
18,KT_Corp,통신,2020,Q1,-0.09257014426161914,-0.004563942900759788,-0.003027906128862057,-0.00943396226415083,-0.015754379708652122,0.3671219648418793,0.0,-0.016684319906852485,-0.03007264375610008,0.0,-0.06844080734617944,030200
18,LG_Uplus,통신,2020,Q1,-0.030270679020977416,0.007803249059279094,0.0043489952306859925,-0.00943396226415083,-0.015754379708652122,-578849.1589736639,-0.017639830799228262,-0.017639830799228262,-0.017639830799228262,-0.017639830799228262,-0.04442659218508299,032640
18,KT&G,음식료·담배,2020,Q1,-0.18105499274646764,0.7067213840172792,0.043900722735950914,-0.00943396226415083,-0.015754379708652122,-0.13172954098807388,0.0,-0.01790290060150257,-0.01790290060150257,0.0,-0.008614705942252887,033780
18,Muhak,음식료·담배,2020,Q1,-0.1565504882419631,0.1055885816358263,0.10291978174980154,-0.00943396226415083,-0.015754379708652122,-0.11646725232374644,0.23413323633654481,-0.017971789769507085,0.0,0.23549967314678588,-0.23490752252566596,033920
18,SBS_Media,오락·문화,2020,Q1,0.0747829446384311,0.03576667822644075,0.028062445774484468,-0.00943396226415083,-0.015754379708652122,0.6217459853465024,-0.017968795579077712,-0.017968795579077712,-0.017968795579077712,-0.017968795579077712,0.010544008115751125,034120
